ID,Title,Gross,Distributor,Budget,Count,Asian character,Asian actor,Majority,Sex,setting / fictional inspired,Martial Arts,Model Minority,keywords,animation ,superhero
20220702,The Batman,,,,,"Forensic Photographer - ""Doctor""",Angela Yeoh,Background,female,,0,1,,,
20220800,Thor: Love and Thunder,"$343,256,830",Walt Disney Studios Motion Pictures,"$250,000,000",3,,,,,0,,,,,
20220801,Thor: Love and Thunder,,,,,Asgardian Stagehand,Natasha Cheng,Background,female,,0,0,,,
20220802,Thor: Love and Thunder,,,,,Asgardian Doctor (as Jane Yubin Kim),Jane Kim,Background,female,,0,0,,,
20220803,Thor: Love and Thunder,,,,,Asgardian Kid,Kim Doan,Background,female,,0,0,,,
20220900,Spider-Man: No Way Home,"$231,808,708",Sony Pictures Releasing,"$200,000,000",3,,,,,0,,,,,
20220901,Spider-Man: No Way Home,,,,,Wong,Benedict Wong,Major Support,male,,0,1,,,
20220902,Spider-Man: No Way Home,,,,,Ned Leeds,Jacob Batalon,Major Support,male,,0,0,,,
20220903,Spider-Man: No Way Home,,,,,Reporter,Regina Ting Chen,Support,female,,0,0,,,
20221000,Sonic the Hedgehog 2,"$190,872,904",Paramount Pictures,"$110,000,000",2,,,,,0,,,,,
20221001,Sonic the Hedgehog 2,,,,,G.U.N. Mean Bean Agent,Sarah Surh,Support,female,,0,0,,,
20221002,Sonic the Hedgehog 2,,,,,Grommet,Steve Chang,Support,male,,0,0,,,
20230100,Barbie,"$636,225,983",Warner Bros.,"$100,000,000",5,,,,,0,,,,,
20230101,Barbie,,,,,Ken,Simu Liu,Major Support,male,,0,0,,,
20230102,Barbie,,,,,Journalist Barbie,Ritu Arya,Support,female,,0,0,,,
20230103,Barbie,,,,,Mattel Executive #2,Andrew Leung,Support,male,,0,0,,,
20230104,Barbie,,,,,An Even Younger Mattel Employee,Zheng Xi Yong,Background,male,,0,0,,,
20230105,Barbie,,,,,Junior High Friend,Brylee Hsu,Background,female,,0,0,,,
20230200,The Super Mario Bros. Movie,"$574,934,330",Universal Pictures,"$100,000,000",0,,,,,0,,,,,
20230300,Spider-Man: Across the Spider-Verse,"$381,311,319",Columbia Pictures,"$150,000,000",0,,,,,1,,,,,
20230400,Guardians of the Galaxy Vol. 3,"$358,995,815",Walt Disney Studios Motion Pictures,"$250,000,000",3,,,,,0,,,,,
20230401,Guardians of the Galaxy Vol. 3,,,,,Mantis,Pom Klementieff,Major Support,female,,0,1,,,
20230402,Guardians of the Galaxy Vol. 3,,,,,Phyla,Kai Zen,Support,female,,0,0,,,
20230403,Guardians of the Galaxy Vol. 3,,,,,Recorder Theel,Nico Santos,Support,male,,0,0,,,
20230500,Oppenheimer,"$326,101,370",Universal Pictures,"$100,000,000",0,,,,,0,,,,,
20230600,The Little Mermaid,"$298,172,056",Walt Disney Studios Motion Pictures,"$355,100,000",2,,,,,0,,,,,
20230601,The Little Mermaid,,,,,Scuttle (voice),Awkwafina,Major Support,female,,0,0,,,
20230602,The Little Mermaid,,,,,Sir Grimsby,Art Malik,Support,male,,0,0,,,
20230700,Avatar: The Way of Water,"$283,067,859",20th Century Studios,"$350,000,000",2,,,,,0,,,,,
20230701,Avatar: The Way of Water,,,,,Tonowari,Cliff Curtis,Major Support,male,,0,0,,,
20230702,Avatar: The Way of Water,,,,,Ao’nung,Filip Geljo,Support,male,,0,0,,,
20230800,Ant-Man and the Wasp: Quantumania,"$214,504,909",Walt Disney Studios Motion Pictures,"$200,000,000",1,,,,,0,,,,,
20230801,Ant-Man and the Wasp: Quantumania,,,,,Jimmy Woo,Randall Park,Support,male,,0,1,,,
20230900,John Wick: Chapter 4,"$187,131,806",Lionsgate,"$100,000,000",7,,,,,1,,,,,
20230901,John Wick: Chapter 4,,,,,Caine,Donnie Yen,Major Support,male,,1,0,,,
20230902,John Wick: Chapter 4,,,,,Mia,Aimée Kwan,Support,female,,0,0,,,
20230903,John Wick: Chapter 4,,,,,Shimazu,Hiroyuki Sanada,Major Support,male,,1,0,,,
20230904,John Wick: Chapter 4,,,,,Akira,Rina Sawayama,Major Support,female,,0,0,,,
20230905,John Wick: Chapter 4,,,,,Sumo #1,Yoshinori Tashiro,Background,male,,1,0,,,
20230906,John Wick: Chapter 4,,,,,Sumo #2,Hiroki Sumi,Background,male,,1,0,,,
20230907,John Wick: Chapter 4,,,,,Daiki,Daiki Suzuki,Background,male,,0,0,,,
20231000,Sound of Freedom,"$184,177,725",Angel Studios,"$14,600,000",0,,,,,0,,,,,
